order_id,customer_id,order_date,order_timestamp,status,payment_method,shipping_city,shipping_state,shipping_zip,subtotal,shipping_cost,tax,total
1,4502,2023-12-29,2023-12-29 11:06:29,completed,credit_card,West Jenniferfort,OR,44463,2473.61,0.0,125.79,2599.4
2,8743,2023-11-24,2023-11-24 10:47:33,completed,paypal,North Gina,MH,21902,49.31,6.58,4.24,60.13
3,729,2023-03-03,2023-03-03 16:09:53,completed,credit_card,West Joseph,VT,84203,994.51,0.0,58.17,1052.68
4,3235,2024-05-15,2024-05-15 09:02:46,cancelled,apple_pay,South Pamelaland,NJ,60540,2644.87,0.0,178.87,2823.74
5,133,2023-02-14,2023-02-14 07:09:56,cancelled,google_pay,Robertberg,ME,01884,698.05,0.0,66.16,764.21
6,8694,2024-07-22,2024-07-22 17:04:14,delivered,paypal,North Vincenthaven,DE,41649,1134.43,0.0,67.41,1201.84
7,10130,2024-08-30,2024-08-30 10:11:34,completed,paypal,North Danielborough,MD,98002,1024.9,0.0,102.42,1127.32
8,11394,2024-03-26,2024-03-26 13:55:55,cancelled,credit_card,Lake Amberchester,VA,34024,457.68,0.0,40.38,498.06
9,4433,2023-05-24,2023-05-24 15:05:25,returned,paypal,North Pamelachester,MN,06567,590.89,0.0,39.15,630.04
10,3235,2023-11-17,2023-11-17 20:20:03,completed,credit_card,South Pamelaland,NJ,60540,2498.51,0.0,149.45,2647.96
11,6924,2024-01-25,2024-01-25 13:40:13,completed,debit_card,Josephfort,SD,85428,39.1,7.04,2.06,48.2
12,9484,2023-09-27,2023-09-27 12:54:48,delivered,google_pay,Brettton,VI,61009,614.26,0.0,48.99,663.25
13,3235,2023-01-24,2023-01-24 21:54:32,completed,credit_card,South Pamelaland,NJ,60540,12.76,8.24,1.1,22.1
14,3592,2023-07-22,2023-07-22 12:15:38,completed,paypal,Williamsfort,MS,62097,342.24,0.0,18.43,360.67
15,7642,2023-04-18,2023-04-18 19:07:25,completed,credit_card,North Sandra,ID,32928,143.78,0.0,8.57,152.35
16,3235,2024-05-29,2024-05-29 07:10:31,pending,credit_card,South Pamelaland,NJ,60540,71.78,0.0,6.51,78.29
17,3985,2023-07-08,2023-07-08 18:06:02,delivered,credit_card,South Katherine,HI,14792,1490.44,0.0,113.14,1603.58
18,6401,2023-07-19,2023-07-19 19:00:55,refunded,debit_card,West Taraview,MI,35804,604.7,0.0,36.46,641.16
19,5006,2024-04-06,2024-04-06 07:49:06,returned,apple_pay,Lake Ryan,VA,05647,697.71,0.0,47.39,745.1
20,8917,2023-05-01,2023-05-01 00:14:16,cancelled,credit_card,East Erikaburgh,MD,11771,997.43,0.0,80.0,1077.43
21,2390,2024-05-24,2024-05-24 13:42:09,completed,debit_card,Bensonburgh,OH,99458,455.2,0.0,40.61,495.81
